,year_ceremony,category,film,name,cca
95,2016,Actor in a Supporting Role,Manchester by the Sea,Michelle Williams,Nominee
96,2017,Actor in a Supporting Role,"I, Tonya",Allison Janney,Winner
97,2017,Actor in a Supporting Role,Mudbound,Mary J. Blige,Nominee
98,2017,Actor in a Supporting Role,Downsizing,Hong Chau,Nominee
99,2017,Actor in a Supporting Role,Girls Trip,Tiffany Haddish,Nominee
100,2017,Actor in a Supporting Role,The Big Sick,Holly Hunter,Nominee
101,2017,Actor in a Supporting Role,Lady Bird,Laurie Metcalf,Nominee
102,2017,Actor in a Supporting Role,The Shape of Water,Octavia Spencer,Nominee
103,2018,Actor in a Supporting Role,If Beale Street Could Talk,Regina King,Winner
104,2018,Actor in a Supporting Role,Vice,Amy Adams,Nominee
105,2018,Actor in a Supporting Role,First Man,Claire Foy,Nominee
106,2018,Actor in a Supporting Role,Boy Erased,Nicole Kidman,Nominee
107,2018,Actor in a Supporting Role,The Favourite,Emma Stone,Nominee
108,2018,Actor in a Supporting Role,The Favourite,Rachel Weisz,Nominee
109,2019,Actor in a Supporting Role,Marriage Story,Laura Dern,Winner
110,2019,Actor in a Supporting Role,Jojo Rabbit,Scarlett Johansson,Nominee
111,2019,Actor in a Supporting Role,Hustlers,Jennifer Lopez,Nominee
112,2019,Actor in a Supporting Role,Little Women,Florence Pugh,Nominee
113,2019,Actor in a Supporting Role,Bombshell,Margot Robbie,Nominee
114,2019,Actor in a Supporting Role,The Farewell,Zhao Shu-zhen,Nominee
115,2020,Actor in a Supporting Role,Borat Subsequent Moviefilm,Maria Bakalova,Winner
116,2020,Actor in a Supporting Role,Pieces of a Woman,Ellen Burstyn,Nominee
117,2020,Actor in a Supporting Role,Hillbilly Elegy,Glenn Close,Nominee
118,2020,Actor in a Supporting Role,The Father,Olivia Colman,Nominee
119,2020,Actor in a Supporting Role,Mank,Amanda Seyfried,Nominee
120,2020,Actor in a Supporting Role,Minari,Youn Yuh-jung,Nominee
121,2021,Actor in a Supporting Role,West Side Story,Ariana DeBose,Winner
122,2021,Actor in a Supporting Role,Belfast,Caitríona Balfe,Nominee
123,2021,Actor in a Supporting Role,The Power of the Dog,Kirsten Dunst,Nominee
124,2021,Actor in a Supporting Role,Mass,Ann Dowd,Nominee
125,2021,Actor in a Supporting Role,King Richard,Aunjanue Ellis,Nominee
126,2021,Actor in a Supporting Role,West Side Story,Rita Moreno,Winner
127,2022,Actor in a Supporting Role,Black Panther: Wakanda Forever,Angela Bassett,Winner
128,2022,Actor in a Supporting Role,Women Talking,Jessie Buckley,Nominee
129,2022,Actor in a Supporting Role,The Banshees of Inisherin,Kerry Condon,Nominee
130,2022,Actor in a Supporting Role,Everything Everywhere All at Once,Jamie Lee Curtis,Nominee
131,2022,Actor in a Supporting Role,Everything Everywhere All at Once,Stephanie Hsu,Nominee
132,2022,Actor in a Supporting Role,Glass Onion: A Knives Out Mystery,Janelle Monáe,Nominee
