,year_ceremony,category,name,film,bafta
3133,1993,Actress in a Leading Role,Jessica Tandy,Fried Green Tomatoes At The Whistle Stop Café,Nominee
3134,1993,Actress in a Supporting Role,Miranda Richardson,Damage,Winner
3135,1993,Actress in a Supporting Role,Kathy Bates,Fried Green Tomatoes At The Whistle Stop Café,Nominee
3136,1993,Actress in a Supporting Role,Helena Bonham Carter,Howards End,Nominee
3137,1993,Actress in a Supporting Role,Miranda Richardson,The Crying Game,Nominee
3138,1993,Writing (Adapted Screenplay),Michael Tolkin,The Player,Winner
3139,1993,Writing (Adapted Screenplay),Ruth Prawer Jhabvala,Howards End,Nominee
3140,1993,Writing (Adapted Screenplay),"Oliver Stone, Zachary Sklar",JFK,Nominee
3141,1993,Writing (Adapted Screenplay),"Baz Luhrmann, Craig Pearce",Strictly Ballroom,Nominee
3162,1993,Best Picture,"Ismail Merchant, James Ivory",Howards End,Winner
3163,1993,Best Picture,"Stephen Woolley, Neil Jordan",The Crying Game,Nominee
3164,1993,Best Picture,"David Brown, Michael Tolkin, Nick Wechsler, Robert Altman",The Player,Nominee
3165,1993,Best Picture,"Tristram Miall, Baz Luhrmann",Strictly Ballroom,Nominee
3166,1993,Best Picture,Clint Eastwood,Unforgiven,Nominee
3179,1993,Writing (Original Screenplay),Woody Allen,Husbands And Wives,Winner
3180,1993,Writing (Original Screenplay),Neil Jordan,The Crying Game,Nominee
3181,1993,Writing (Original Screenplay),"Peter Chelsom, Adrian Dunbar",Hear My Song,Nominee
3182,1993,Writing (Original Screenplay),David Webb Peoples,Unforgiven,Nominee
3207,1994,Actor in a Leading Role,Anthony Hopkins,The Remains Of The Day,Winner
3208,1994,Actor in a Leading Role,Daniel Day-Lewis,In The Name Of The Father,Nominee
3209,1994,Actor in a Leading Role,Anthony Hopkins,Shadowlands,Nominee
3210,1994,Actor in a Leading Role,Liam Neeson,Schindler's List,Nominee
3211,1994,Actor in a Supporting Role,Ralph Fiennes,Schindler's List,Winner
3212,1994,Actor in a Supporting Role,Ben Kingsley,Schindler's List,Nominee
3213,1994,Actor in a Supporting Role,Tommy Lee Jones,The Fugitive,Nominee
3214,1994,Actor in a Supporting Role,John Malkovich,In The Line Of Fire,Nominee
3215,1994,Actress in a Leading Role,Holly Hunter,The Piano,Winner
3216,1994,Actress in a Leading Role,Miranda Richardson,Tom And Viv,Nominee
