,year_ceremony,category,name,film,golden_globe
4728,1995,Actress In A Leading Role - Musical or Comedy,Andie MacDowell,Four Weddings And A Funeral,Nominee
4729,1995,Actress In A Leading Role - Musical or Comedy,Shirley MacLaine,Guarding Tess,Nominee
4730,1995,Actress In A Leading Role - Musical or Comedy,Emma Thompson,Junior,Nominee
4731,1995,Actor In A Leading Role - Musical or Comedy,Hugh Grant,Four Weddings And A Funeral,Winner
4732,1995,Actor In A Leading Role - Musical or Comedy,Terence Stamp,"Adventures Of Priscilla, Queen Of The Desert, The",Nominee
4733,1995,Actor In A Leading Role - Musical or Comedy,Jim Carrey,"Mask, The",Nominee
4734,1995,Actor In A Leading Role - Musical or Comedy,Johnny Depp,Ed Wood,Nominee
4735,1995,Actor In A Leading Role - Musical or Comedy,Arnold Schwarzenegger,Junior,Nominee
4736,1995,Actress In A Supporting Role,Dianne Wiest,Bullets Over Broadway,Winner
4737,1995,Actress In A Supporting Role,Kirsten Dunst,Interview With The Vampire (The Vampire Chronicles),Nominee
4738,1995,Actress In A Supporting Role,Sophia Loren,Ready To Wear,Nominee
4739,1995,Actress In A Supporting Role,Uma Thurman,Pulp Fiction,Nominee
4740,1995,Actress In A Supporting Role,Robin Wright,Forrest Gump,Nominee
4741,1995,Actor In A Supporting Role,Martin Landau,Ed Wood,Winner
4742,1995,Actor In A Supporting Role,Kevin Bacon,"River Wild, The",Nominee
4743,1995,Actor In A Supporting Role,Samuel L. Jackson,Pulp Fiction,Nominee
4744,1995,Actor In A Supporting Role,Gary Sinise,Forrest Gump,Nominee
4745,1995,Actor In A Supporting Role,John Turturro,Quiz Show,Nominee
4746,1995,Directing,Robert Zemeckis,Forrest Gump,Winner
4747,1995,Directing,Edward Zwick,Legends Of The Fall,Nominee
4748,1995,Directing,Robert Redford,Quiz Show,Nominee
4749,1995,Directing,Oliver Stone,Natural Born Killers,Nominee
4750,1995,Directing,Quentin Tarantino,Pulp Fiction,Nominee
4751,1995,Writing (Original Screenplay),Quentin Tarantino,Pulp Fiction,Winner
4752,1995,Writing (Original Screenplay),Frank Darabont,"Shawshank Redemption, The",Nominee
4753,1995,Writing (Original Screenplay),Eric Roth,Forrest Gump,Nominee
4754,1995,Writing (Original Screenplay),Richard Curtis,Four Weddings And A Funeral,Nominee
4755,1995,Writing (Original Screenplay),Paul Attanasio,Quiz Show,Nominee
4843,1996,Actress In A Leading Role - Drama,Sharon Stone,Casino,Winner
4844,1996,Actress In A Leading Role - Drama,Susan Sarandon,Dead Man Walking,Nominee
4845,1996,Actress In A Leading Role - Drama,Elisabeth Shue,Leaving Las Vegas,Nominee
4846,1996,Actress In A Leading Role - Drama,Meryl Streep,"Bridges Of Madison County, The",Nominee
4847,1996,Actress In A Leading Role - Drama,Emma Thompson,Sense And Sensibility,Nominee
4848,1996,Actor In A Leading Role - Drama,Nicolas Cage,Leaving Las Vegas,Winner
4849,1996,Actor In A Leading Role - Drama,Richard Dreyfuss,Mr. Holland'S Opus,Nominee
4850,1996,Actor In A Leading Role - Drama,Anthony Hopkins,Nixon,Nominee
4851,1996,Actor In A Leading Role - Drama,Ian McKellen,Richard Iii,Nominee
4852,1996,Actor In A Leading Role - Drama,Sean Penn,Dead Man Walking,Nominee
4853,1996,Actress In A Leading Role - Musical or Comedy,Nicole Kidman,To Die For,Winner
4854,1996,Actress In A Leading Role - Musical or Comedy,Annette Bening,"American President, The",Nominee
4855,1996,Actress In A Leading Role - Musical or Comedy,Sandra Bullock,While You Were Sleeping,Nominee
4856,1996,Actress In A Leading Role - Musical or Comedy,Toni Collette,Muriel'S Wedding,Nominee
4857,1996,Actress In A Leading Role - Musical or Comedy,Vanessa Redgrave,"Month By The Lake, A",Nominee
4858,1996,Actor In A Leading Role - Musical or Comedy,John Travolta,Get Shorty,Winner
4859,1996,Actor In A Leading Role - Musical or Comedy,Patrick Swayze,"To Wong Foo, Thanks For Everything! Julie Newmar",Nominee
4860,1996,Actor In A Leading Role - Musical or Comedy,Michael Douglas,"American President, The",Nominee
4861,1996,Actor In A Leading Role - Musical or Comedy,Harrison Ford,Sabrina (1995),Nominee
4862,1996,Actor In A Leading Role - Musical or Comedy,Steve Martin,Father Of The Bride Part Ii,Nominee
4863,1996,Actress In A Supporting Role,Mira Sorvino,Mighty Aphrodite,Winner
4864,1996,Actress In A Supporting Role,Anjelica Huston,"Crossing Guard, The",Nominee
4865,1996,Actress In A Supporting Role,Kathleen Quinlan,Apollo 13,Nominee
4866,1996,Actress In A Supporting Role,Kyra Sedgwick,Something To Talk About,Nominee
4867,1996,Actress In A Supporting Role,Kate Winslet,Sense And Sensibility,Nominee
4868,1996,Actor In A Supporting Role,Brad Pitt,Twelve Monkeys,Winner
4869,1996,Actor In A Supporting Role,Ed Harris,Apollo 13,Nominee
4870,1996,Actor In A Supporting Role,John Leguizamo,"To Wong Foo, Thanks For Everything! Julie Newmar",Nominee
4871,1996,Actor In A Supporting Role,Tim Roth,Rob Roy,Nominee
4872,1996,Actor In A Supporting Role,Kevin Spacey,"Usual Suspects, The",Nominee
4873,1996,Directing,Mel Gibson,Braveheart,Winner
4874,1996,Directing,Mike Figgis,Leaving Las Vegas,Nominee
4875,1996,Directing,Ron Howard,Apollo 13,Nominee
4876,1996,Directing,Ang Lee,Sense And Sensibility,Nominee
4877,1996,Directing,Rob Reiner,"American President, The",Nominee
4878,1996,Directing,Martin Scorsese,Casino,Nominee
4879,1996,Writing (Original Screenplay),Emma Thompson,Sense And Sensibility,Winner
4880,1996,Writing (Original Screenplay),Scott Frank,Get Shorty,Nominee
4881,1996,Writing (Original Screenplay),Patrick Sheane Duncan,Mr. Holland'S Opus,Nominee
4882,1996,Writing (Original Screenplay),Randall Wallace,Braveheart,Nominee
4883,1996,Writing (Original Screenplay),Tim Robbins,Dead Man Walking,Nominee
4884,1996,Writing (Original Screenplay),Aaron Sorkin,"American President, The",Nominee
4967,1997,Actress In A Leading Role - Drama,Brenda Blethyn,Secrets & Lies,Winner
4968,1997,Actress In A Leading Role - Drama,Courtney Love,"People Vs. Larry Flynt, The",Nominee
4969,1997,Actress In A Leading Role - Drama,Kristin Scott Thomas,The English Patient,Nominee
4970,1997,Actress In A Leading Role - Drama,Meryl Streep,Marvin'S Room,Nominee
4971,1997,Actress In A Leading Role - Drama,Emily Watson,Breaking The Waves,Nominee
4972,1997,Actor In A Leading Role - Drama,Geoffrey Rush,Shine,Winner
4973,1997,Actor In A Leading Role - Drama,Ralph Fiennes,The English Patient,Nominee
4974,1997,Actor In A Leading Role - Drama,Mel Gibson,Ransom,Nominee
4975,1997,Actor In A Leading Role - Drama,Woody Harrelson,"People Vs. Larry Flynt, The",Nominee
4976,1997,Actor In A Leading Role - Drama,Liam Neeson,Michael Collins,Nominee
4977,1997,Actress In A Leading Role - Musical or Comedy,Madonna,Evita,Winner
4978,1997,Actress In A Leading Role - Musical or Comedy,Glenn Close,101 Dalmatians,Nominee
4979,1997,Actress In A Leading Role - Musical or Comedy,Frances McDormand,Fargo,Nominee
4980,1997,Actress In A Leading Role - Musical or Comedy,Debbie Reynolds,Mother,Nominee
4981,1997,Actress In A Leading Role - Musical or Comedy,Barbra Streisand,The Mirror Has Two Faces,Nominee
4982,1997,Actor In A Leading Role - Musical or Comedy,Tom Cruise,Jerry Maguire,Winner
4983,1997,Actor In A Leading Role - Musical or Comedy,Antonio Banderas,Evita,Nominee
4984,1997,Actor In A Leading Role - Musical or Comedy,Kevin Costner,Tin Cup,Nominee
4985,1997,Actor In A Leading Role - Musical or Comedy,Nathan Lane,"Birdcage, The",Nominee
4986,1997,Actor In A Leading Role - Musical or Comedy,Eddie Murphy,"Nutty Professor, The",Nominee
4987,1997,Actress In A Supporting Role,Lauren Bacall,The Mirror Has Two Faces,Winner
4988,1997,Actress In A Supporting Role,Juliette Binoche,The English Patient,Nominee
4989,1997,Actress In A Supporting Role,Barbara Hershey,"Portrait Of A Lady, The",Nominee
4990,1997,Actress In A Supporting Role,Marianne Jean-Baptiste,Secrets & Lies,Nominee
4991,1997,Actress In A Supporting Role,Marion Ross,"Evening Star, The",Nominee
4992,1997,Actress In A Supporting Role,Joan Allen,"Crucible, The",Nominee
4993,1997,Actor In A Supporting Role,Edward Norton,Primal Fear,Winner
4994,1997,Actor In A Supporting Role,Cuba Gooding Jr.,Jerry Maguire,Nominee
