,year_ceremony,category,name,film,golden_globe
5624,2002,Actress In A Supporting Role,Helen Mirren,Gosford Park,Nominee
5625,2002,Actress In A Supporting Role,Maggie Smith,Gosford Park,Nominee
5626,2002,Actress In A Supporting Role,Marisa Tomei,In The Bedroom,Nominee
5627,2002,Actor In A Supporting Role,Jim Broadbent,Iris,Winner
5628,2002,Actor In A Supporting Role,Steve Buscemi,Ghost World,Nominee
5629,2002,Actor In A Supporting Role,Hayden Christensen,Life As A House,Nominee
5630,2002,Actor In A Supporting Role,Ben Kingsley,Sexy Beast,Nominee
5631,2002,Actor In A Supporting Role,Jude Law,A. I.: Artificial Intelligence,Nominee
5632,2002,Actor In A Supporting Role,Jon Voight,Ali,Nominee
5633,2002,Directing,Robert Altman,Gosford Park,Winner
5634,2002,Directing,Ron Howard,A Beautiful Mind,Nominee
5635,2002,Directing,Peter Jackson,The Lord Of The Rings: The Fellowship Of The Ring,Nominee
5636,2002,Directing,Baz Luhrmann,Moulin Rouge!,Nominee
5637,2002,Directing,David Lynch,Mulholland Dr.,Nominee
5638,2002,Directing,Steven Spielberg,A. I.: Artificial Intelligence,Nominee
5639,2002,Writing (Original Screenplay),Akiva Goldsman,A Beautiful Mind,Winner
5640,2002,Writing (Original Screenplay),Christopher Nolan,Memento,Nominee
5641,2002,Writing (Original Screenplay),David Lynch,Mulholland Dr.,Nominee
5642,2002,Writing (Original Screenplay),Julian Fellowes,Gosford Park,Nominee
5643,2002,Writing (Original Screenplay),Ethan Coen,"Man Who Wasn'T There, The",Nominee
5732,2003,Actress In A Leading Role - Drama,Nicole Kidman,The Hours,Winner
5733,2003,Actress In A Leading Role - Drama,Salma Hayek,Frida,Nominee
5734,2003,Actress In A Leading Role - Drama,Diane Lane,Unfaithful,Nominee
5735,2003,Actress In A Leading Role - Drama,Julianne Moore,Far From Heaven,Nominee
5736,2003,Actress In A Leading Role - Drama,Meryl Streep,The Hours,Nominee
5737,2003,Actor In A Leading Role - Drama,Jack Nicholson,About Schmidt,Winner
5738,2003,Actor In A Leading Role - Drama,Leonardo DiCaprio,Catch Me If You Can,Nominee
5739,2003,Actor In A Leading Role - Drama,Adrien Brody,"Pianist, The",Nominee
5740,2003,Actor In A Leading Role - Drama,Michael Caine,"Quiet American, The",Nominee
5741,2003,Actor In A Leading Role - Drama,Daniel Day-Lewis,Gangs Of New York,Nominee
5742,2003,Actress In A Leading Role - Musical or Comedy,Renée Zellweger,Chicago,Winner
5743,2003,Actress In A Leading Role - Musical or Comedy,Maggie Gyllenhaal,Secretary,Nominee
5744,2003,Actress In A Leading Role - Musical or Comedy,Goldie Hawn,"Banger Sisters, The",Nominee
5745,2003,Actress In A Leading Role - Musical or Comedy,Nia Vardalos,My Big Fat Greek Wedding,Nominee
5746,2003,Actress In A Leading Role - Musical or Comedy,Catherine Zeta-Jones,Chicago,Nominee
5747,2003,Actor In A Leading Role - Musical or Comedy,Richard Gere,Chicago,Winner
5748,2003,Actor In A Leading Role - Musical or Comedy,Adam Sandler,Punch-Drunk Love,Nominee
5749,2003,Actor In A Leading Role - Musical or Comedy,Nicolas Cage,Adaptation,Nominee
5750,2003,Actor In A Leading Role - Musical or Comedy,Kieran Culkin,Igby Goes Down,Nominee
5751,2003,Actor In A Leading Role - Musical or Comedy,Hugh Grant,About A Boy,Nominee
5752,2003,Actress In A Supporting Role,Meryl Streep,Adaptation,Winner
5753,2003,Actress In A Supporting Role,Kathy Bates,About Schmidt,Nominee
5754,2003,Actress In A Supporting Role,Cameron Diaz,Gangs Of New York,Nominee
5755,2003,Actress In A Supporting Role,Queen Latifah,Chicago,Nominee
5756,2003,Actress In A Supporting Role,Susan Sarandon,Igby Goes Down,Nominee
5757,2003,Actor In A Supporting Role,Chris Cooper,Adaptation,Winner
5758,2003,Actor In A Supporting Role,Ed Harris,The Hours,Nominee
5759,2003,Actor In A Supporting Role,Paul Newman,Road To Perdition,Nominee
5760,2003,Actor In A Supporting Role,Dennis Quaid,Far From Heaven,Nominee
5761,2003,Actor In A Supporting Role,John C. Reilly,Chicago,Nominee
5762,2003,Directing,Martin Scorsese,Gangs Of New York,Winner
5763,2003,Directing,Stephen Daldry,The Hours,Nominee
5764,2003,Directing,Peter Jackson,"Lord Of The Rings: The Two Towers, The",Nominee
5765,2003,Directing,Spike Jonze,Adaptation,Nominee
5766,2003,Directing,Rob Marshall,Chicago,Nominee
5767,2003,Directing,Alexander Payne,About Schmidt,Nominee
5768,2003,Writing (Original Screenplay),"Alexander Payne, Jim Taylor",About Schmidt,Winner
5769,2003,Writing (Original Screenplay),Charlie Kaufman,Adaptation,Nominee
5770,2003,Writing (Original Screenplay),Bill Condon,Chicago,Nominee
5771,2003,Writing (Original Screenplay),Todd Haynes,Far From Heaven,Nominee
5772,2003,Writing (Original Screenplay),David Hare,The Hours,Nominee
5859,2004,Actress In A Leading Role - Drama,Charlize Theron,Monster,Winner
5860,2004,Actress In A Leading Role - Drama,Scarlett Johansson,Girl With A Pearl Earring,Nominee
5861,2004,Actress In A Leading Role - Drama,Nicole Kidman,Cold Mountain,Nominee
5862,2004,Actress In A Leading Role - Drama,Uma Thurman,Kill Bill (Vol. 1),Nominee
5863,2004,Actress In A Leading Role - Drama,Evan Rachel Wood,Thirteen,Nominee
5864,2004,Actress In A Leading Role - Drama,Cate Blanchett,Veronica Guerin,Nominee
5865,2004,Actor In A Leading Role - Drama,Sean Penn,Mystic River,Winner
5866,2004,Actor In A Leading Role - Drama,Russell Crowe,Master And Commander: The Far Side Of The World,Nominee
5867,2004,Actor In A Leading Role - Drama,Tom Cruise,The Last Samurai,Nominee
5868,2004,Actor In A Leading Role - Drama,Ben Kingsley,House Of Sand And Fog,Nominee
5869,2004,Actor In A Leading Role - Drama,Jude Law,Cold Mountain,Nominee
5870,2004,Actress In A Leading Role - Musical or Comedy,Diane Keaton,Something'S Gotta Give,Winner
5871,2004,Actress In A Leading Role - Musical or Comedy,Jamie Lee Curtis,Freaky Friday (2003),Nominee
5872,2004,Actress In A Leading Role - Musical or Comedy,Scarlett Johansson,Lost In Translation,Nominee
5873,2004,Actress In A Leading Role - Musical or Comedy,Diane Lane,Under The Tuscan Sun,Nominee
5874,2004,Actress In A Leading Role - Musical or Comedy,Helen Mirren,Calendar Girls,Nominee
5875,2004,Actor In A Leading Role - Musical or Comedy,Bill Murray,Lost In Translation,Winner
5876,2004,Actor In A Leading Role - Musical or Comedy,Billy Bob Thornton,Bad Santa,Nominee
5877,2004,Actor In A Leading Role - Musical or Comedy,Jack Black,"School Of Rock, The",Nominee
5878,2004,Actor In A Leading Role - Musical or Comedy,Johnny Depp,Pirates Of The Caribbean: The Curse Of The Black Pearl,Nominee
5879,2004,Actor In A Leading Role - Musical or Comedy,Jack Nicholson,Something'S Gotta Give,Nominee
5880,2004,Actress In A Supporting Role,Renée Zellweger,Cold Mountain,Winner
5881,2004,Actress In A Supporting Role,Patricia Clarkson,Pieces Of April,Nominee
5882,2004,Actress In A Supporting Role,Hope Davis,American Splendor,Nominee
5883,2004,Actress In A Supporting Role,Holly Hunter,Thirteen,Nominee
5884,2004,Actress In A Supporting Role,Maria Bello,"Cooler, The",Nominee
5885,2004,Actor In A Supporting Role,Tim Robbins,Mystic River,Winner
5886,2004,Actor In A Supporting Role,Ken Watanabe,The Last Samurai,Nominee
5887,2004,Actor In A Supporting Role,Alec Baldwin,"Cooler, The",Nominee
5888,2004,Actor In A Supporting Role,Albert Finney,Big Fish,Nominee
5889,2004,Actor In A Supporting Role,William H. Macy,Seabiscuit,Nominee
5890,2004,Actor In A Supporting Role,Peter Sarsgaard,Shattered Glass,Nominee
5891,2004,Directing,Peter Jackson,The Lord Of The Rings: The Return Of The King,Winner
5892,2004,Directing,Sofia Coppola,Lost In Translation,Nominee
5893,2004,Directing,Clint Eastwood,Mystic River,Nominee
5894,2004,Directing,Anthony Minghella,Cold Mountain,Nominee
5895,2004,Directing,Peter Weir,Master And Commander: The Far Side Of The World,Nominee
5896,2004,Writing (Original Screenplay),Sofia Coppola,Lost In Translation,Winner
5897,2004,Writing (Original Screenplay),Anthony Minghella,Cold Mountain,Nominee
5898,2004,Writing (Original Screenplay),Jim Sheridan,In America,Nominee
5899,2004,Writing (Original Screenplay),Richard Curtis,Love Actually,Nominee
5900,2004,Writing (Original Screenplay),Brian Helgeland,Mystic River,Nominee
5984,2005,Actress In A Leading Role - Drama,Hilary Swank,Million Dollar Baby,Winner
5985,2005,Actress In A Leading Role - Drama,Scarlett Johansson,"Love Song For Bobby Long, A",Nominee
5986,2005,Actress In A Leading Role - Drama,Nicole Kidman,Birth,Nominee
5987,2005,Actress In A Leading Role - Drama,Imelda Staunton,Vera Drake,Nominee
5988,2005,Actress In A Leading Role - Drama,Uma Thurman,Kill Bill (Vol. 2),Nominee
5989,2005,Actor In A Leading Role - Drama,Leonardo DiCaprio,The Aviator,Winner
5990,2005,Actor In A Leading Role - Drama,Javier Bardem,The Sea Inside,Nominee
5991,2005,Actor In A Leading Role - Drama,Don Cheadle,Hotel Rwanda,Nominee
5992,2005,Actor In A Leading Role - Drama,Johnny Depp,Finding Neverland,Nominee
5993,2005,Actor In A Leading Role - Drama,Liam Neeson,Kinsey,Nominee
5994,2005,Actress In A Leading Role - Musical or Comedy,Annette Bening,Being Julia,Winner
5995,2005,Actress In A Leading Role - Musical or Comedy,Ashley Judd,De-Lovely,Nominee
5996,2005,Actress In A Leading Role - Musical or Comedy,Renée Zellweger,Bridget Jones: The Edge Of Reason,Nominee
5997,2005,Actress In A Leading Role - Musical or Comedy,Kate Winslet,Eternal Sunshine Of The Spotless Mind,Nominee
5998,2005,Actress In A Leading Role - Musical or Comedy,Emmy Rossum,The Phantom Of The Opera,Nominee
5999,2005,Actor In A Leading Role - Musical or Comedy,Jamie Foxx,Ray,Winner
6000,2005,Actor In A Leading Role - Musical or Comedy,Paul Giamatti,Sideways,Nominee
6001,2005,Actor In A Leading Role - Musical or Comedy,Kevin Kline,De-Lovely,Nominee
6002,2005,Actor In A Leading Role - Musical or Comedy,Kevin Spacey,Beyond The Sea,Nominee
6003,2005,Actor In A Leading Role - Musical or Comedy,Jim Carrey,Eternal Sunshine Of The Spotless Mind,Nominee
6004,2005,Actress In A Supporting Role,Natalie Portman,Closer,Winner
6005,2005,Actress In A Supporting Role,Cate Blanchett,The Aviator,Nominee
6006,2005,Actress In A Supporting Role,Laura Linney,Kinsey,Nominee
6007,2005,Actress In A Supporting Role,Virginia Madsen,Sideways,Nominee
6008,2005,Actress In A Supporting Role,Meryl Streep,"Manchurian Candidate (2004), The",Nominee
6009,2005,Actor In A Supporting Role,Clive Owen,Closer,Winner
6010,2005,Actor In A Supporting Role,Thomas Haden Church,Sideways,Nominee
6011,2005,Actor In A Supporting Role,Jamie Foxx,Collateral,Nominee
6012,2005,Actor In A Supporting Role,Morgan Freeman,Million Dollar Baby,Nominee
6013,2005,Actor In A Supporting Role,David Carradine,Kill Bill (Vol. 2),Nominee
6014,2005,Directing,Clint Eastwood,Million Dollar Baby,Winner
6015,2005,Directing,Marc Forster,Finding Neverland,Nominee
6016,2005,Directing,Mike Nichols,Closer,Nominee
6017,2005,Directing,Martin Scorsese,The Aviator,Nominee
6018,2005,Directing,Alexander Payne,Sideways,Nominee
6019,2005,Writing (Original Screenplay),"Alexander Payne, Jim Taylor",Sideways,Winner
6020,2005,Writing (Original Screenplay),Charlie Kaufman,Eternal Sunshine Of The Spotless Mind,Nominee
6021,2005,Writing (Original Screenplay),John Logan,The Aviator,Nominee
6022,2005,Writing (Original Screenplay),David Magee,Finding Neverland,Nominee
6023,2005,Writing (Original Screenplay),Patrick Marber,Closer,Nominee
6106,2006,Actress In A Leading Role - Drama,Felicity Huffman,Transamerica,Winner
6107,2006,Actress In A Leading Role - Drama,Maria Bello,A History Of Violence,Nominee
6108,2006,Actress In A Leading Role - Drama,Gwyneth Paltrow,Proof,Nominee
6109,2006,Actress In A Leading Role - Drama,Charlize Theron,North Country,Nominee
6110,2006,Actress In A Leading Role - Drama,Ziyi Zhang,Memoirs Of A Geisha,Nominee
6111,2006,Actor In A Leading Role - Drama,Philip Seymour Hoffman,Capote,Winner
6112,2006,Actor In A Leading Role - Drama,Heath Ledger,Brokeback Mountain,Nominee
6113,2006,Actor In A Leading Role - Drama,David Strathairn,"Good Night, And Good Luck",Nominee
6114,2006,Actor In A Leading Role - Drama,Russell Crowe,Cinderella Man,Nominee
6115,2006,Actor In A Leading Role - Drama,Terrence Howard,Hustle & Flow,Nominee
6116,2006,Actress In A Leading Role - Musical or Comedy,Reese Witherspoon,Walk The Line,Winner
6117,2006,Actress In A Leading Role - Musical or Comedy,Judi Dench,Mrs. Henderson Presents,Nominee
6118,2006,Actress In A Leading Role - Musical or Comedy,Keira Knightley,Pride & Prejudice,Nominee
6119,2006,Actress In A Leading Role - Musical or Comedy,Laura Linney,"Squid And The Whale, The",Nominee
6120,2006,Actress In A Leading Role - Musical or Comedy,Sarah Jessica Parker,"Family Stone, The",Nominee
6121,2006,Actor In A Leading Role - Musical or Comedy,Joaquin Phoenix,Walk The Line,Winner
6122,2006,Actor In A Leading Role - Musical or Comedy,Jeff Daniels,"Squid And The Whale, The",Nominee
6123,2006,Actor In A Leading Role - Musical or Comedy,Johnny Depp,Charlie And The Chocolate Factory,Nominee
6124,2006,Actor In A Leading Role - Musical or Comedy,Nathan Lane,The Producers,Nominee
6125,2006,Actor In A Leading Role - Musical or Comedy,Cillian Murphy,Breakfast On Pluto,Nominee
6126,2006,Actor In A Leading Role - Musical or Comedy,Pierce Brosnan,"Matador, The",Nominee
6127,2006,Actress In A Supporting Role,Rachel Weisz,"Constant Gardener, The",Winner
6128,2006,Actress In A Supporting Role,Scarlett Johansson,Match Point,Nominee
6129,2006,Actress In A Supporting Role,Shirley MacLaine,In Her Shoes,Nominee
6130,2006,Actress In A Supporting Role,Frances McDormand,North Country,Nominee
6131,2006,Actress In A Supporting Role,Michelle Williams,Brokeback Mountain,Nominee
6132,2006,Actor In A Supporting Role,George Clooney,Syriana,Winner
6133,2006,Actor In A Supporting Role,Matt Dillon,Crash,Nominee
6134,2006,Actor In A Supporting Role,Will Ferrell,The Producers,Nominee
6135,2006,Actor In A Supporting Role,Paul Giamatti,Cinderella Man,Nominee
6136,2006,Actor In A Supporting Role,Bob Hoskins,Mrs. Henderson Presents,Nominee
6137,2006,Directing,Ang Lee,Brokeback Mountain,Winner
6138,2006,Directing,Woody Allen,Match Point,Nominee
6139,2006,Directing,George Clooney,"Good Night, And Good Luck",Nominee
6140,2006,Directing,Fernando Meirelles,"Constant Gardener, The",Nominee
6141,2006,Directing,Steven Spielberg,Munich,Nominee
6142,2006,Directing,Peter Jackson,King Kong (2005),Nominee
6143,2006,Writing (Original Screenplay),"Larry McMurtry, Diana Ossana",Brokeback Mountain,Winner
6144,2006,Writing (Original Screenplay),Woody Allen,Match Point,Nominee
6145,2006,Writing (Original Screenplay),George Clooney,"Good Night, And Good Luck",Nominee
6146,2006,Writing (Original Screenplay),Paul Haggis,Crash,Nominee
6147,2006,Writing (Original Screenplay),Tony Kushner,Munich,Nominee
6231,2007,Actress In A Leading Role - Drama,Helen Mirren,"Queen, The",Winner
6232,2007,Actress In A Leading Role - Drama,Judi Dench,Notes On A Scandal,Nominee
6233,2007,Actress In A Leading Role - Drama,Maggie Gyllenhaal,Sherrybaby,Nominee
6234,2007,Actress In A Leading Role - Drama,Kate Winslet,Little Children,Nominee
6235,2007,Actress In A Leading Role - Drama,Penélope Cruz,Volver,Nominee
6236,2007,Actor In A Leading Role - Drama,Forest Whitaker,"Last King Of Scotland, The",Winner
6237,2007,Actor In A Leading Role - Drama,Leonardo DiCaprio,Blood Diamond,Nominee
6238,2007,Actor In A Leading Role - Drama,Leonardo DiCaprio,"Departed, The",Nominee
6239,2007,Actor In A Leading Role - Drama,Peter O'Toole,Venus,Nominee
6240,2007,Actor In A Leading Role - Drama,Will Smith,The Pursuit Of Happyness,Nominee
6241,2007,Actress In A Leading Role - Musical or Comedy,Meryl Streep,"Devil Wears Prada, The",Winner
6242,2007,Actress In A Leading Role - Musical or Comedy,Annette Bening,Running With Scissors,Nominee
6243,2007,Actress In A Leading Role - Musical or Comedy,Toni Collette,Little Miss Sunshine,Nominee
6244,2007,Actress In A Leading Role - Musical or Comedy,Beyoncé,Dreamgirls,Nominee
6245,2007,Actress In A Leading Role - Musical or Comedy,Renée Zellweger,Miss Potter,Nominee
6246,2007,Actor In A Leading Role - Musical or Comedy,Sacha Baron Cohen,Borat: Cultural Learnings Of America For Make Benefit Glorious Nation Of Kazakhstan,Winner
6247,2007,Actor In A Leading Role - Musical or Comedy,Johnny Depp,Pirates Of The Caribbean: Dead Man'S Chest,Nominee
6248,2007,Actor In A Leading Role - Musical or Comedy,Aaron Eckhart,Thank You For Smoking,Nominee
6249,2007,Actor In A Leading Role - Musical or Comedy,Chiwetel Ejiofor,Kinky Boots,Nominee
6250,2007,Actor In A Leading Role - Musical or Comedy,Will Ferrell,Stranger Than Fiction,Nominee
6251,2007,Actress In A Supporting Role,Jennifer Hudson,Dreamgirls,Winner
6252,2007,Actress In A Supporting Role,Adriana Barraza,Babel,Nominee
6253,2007,Actress In A Supporting Role,Cate Blanchett,Notes On A Scandal,Nominee
6254,2007,Actress In A Supporting Role,Emily Blunt,"Devil Wears Prada, The",Nominee
6255,2007,Actress In A Supporting Role,Rinko Kikuchi,Babel,Nominee
6256,2007,Actor In A Supporting Role,Eddie Murphy,Dreamgirls,Winner
6257,2007,Actor In A Supporting Role,Jack Nicholson,"Departed, The",Nominee
6258,2007,Actor In A Supporting Role,Brad Pitt,Babel,Nominee
6259,2007,Actor In A Supporting Role,Mark Wahlberg,"Departed, The",Nominee
6260,2007,Actor In A Supporting Role,Ben Affleck,Hollywoodland,Nominee
6261,2007,Directing,Martin Scorsese,"Departed, The",Winner
6262,2007,Directing,Clint Eastwood,Flags Of Our Fathers,Nominee
6263,2007,Directing,Clint Eastwood,Letters From Iwo Jima,Nominee
6264,2007,Directing,Stephen Frears,"Queen, The",Nominee
6265,2007,Directing,Alejandro González Iñárritu,Babel,Nominee
6266,2007,Writing (Original Screenplay),Peter Morgan,"Queen, The",Winner
6267,2007,Writing (Original Screenplay),"Todd Field, Tom Perrotta",Little Children,Nominee
6268,2007,Writing (Original Screenplay),Patrick Marber,Notes On A Scandal,Nominee
6269,2007,Writing (Original Screenplay),William Monahan,"Departed, The",Nominee
6270,2007,Writing (Original Screenplay),Guillermo Arriaga,Babel,Nominee
6359,2008,Actress In A Leading Role - Drama,Julie Christie,Away From Her,Winner
6360,2008,Actress In A Leading Role - Drama,Cate Blanchett,Elizabeth:  The Golden Age,Nominee
6361,2008,Actress In A Leading Role - Drama,Jodie Foster,"Brave One, The",Nominee
6362,2008,Actress In A Leading Role - Drama,Angelina Jolie,"Mighty Heart, A",Nominee
6363,2008,Actress In A Leading Role - Drama,Keira Knightley,Atonement,Nominee
6364,2008,Actor In A Leading Role - Drama,Daniel Day-Lewis,There Will Be Blood,Winner
6365,2008,Actor In A Leading Role - Drama,Denzel Washington,American Gangster,Nominee
6366,2008,Actor In A Leading Role - Drama,George Clooney,Michael Clayton,Nominee
6367,2008,Actor In A Leading Role - Drama,James McAvoy,Atonement,Nominee
6368,2008,Actor In A Leading Role - Drama,Viggo Mortensen,Eastern Promises,Nominee
6369,2008,Actress In A Leading Role - Musical or Comedy,Marion Cotillard,La Vie En Rose,Winner
6370,2008,Actress In A Leading Role - Musical or Comedy,Nikki Blonsky,Hairspray,Nominee
6371,2008,Actress In A Leading Role - Musical or Comedy,Amy Adams,Enchanted,Nominee
6372,2008,Actress In A Leading Role - Musical or Comedy,Helena Bonham Carter,Sweeney Todd: The Demon Barber Of Fleet Street,Nominee
6373,2008,Actress In A Leading Role - Musical or Comedy,Ellen Page,Juno,Nominee
6374,2008,Actor In A Leading Role - Musical or Comedy,Johnny Depp,Sweeney Todd: The Demon Barber Of Fleet Street,Winner
6375,2008,Actor In A Leading Role - Musical or Comedy,Ryan Gosling,Lars And The Real Girl,Nominee
6376,2008,Actor In A Leading Role - Musical or Comedy,Tom Hanks,Charlie Wilson'S War,Nominee
6377,2008,Actor In A Leading Role - Musical or Comedy,Philip Seymour Hoffman,"Savages, The",Nominee
6378,2008,Actor In A Leading Role - Musical or Comedy,John C. Reilly,Walk Hard: The Dewey Cox Story,Nominee
6379,2008,Actress In A Supporting Role,Cate Blanchett,I'M Not There,Winner
6380,2008,Actress In A Supporting Role,Julia Roberts,Charlie Wilson'S War,Nominee
6381,2008,Actress In A Supporting Role,Saoirse Ronan,Atonement,Nominee
6382,2008,Actress In A Supporting Role,Amy Ryan,Gone Baby Gone,Nominee
6383,2008,Actress In A Supporting Role,Tilda Swinton,Michael Clayton,Nominee
6384,2008,Actor In A Supporting Role,Javier Bardem,No Country For Old Men,Winner
6385,2008,Actor In A Supporting Role,Casey Affleck,"Assassination Of Jesse James By The Coward Robert Ford, The",Nominee
6386,2008,Actor In A Supporting Role,Philip Seymour Hoffman,Charlie Wilson'S War,Nominee
6387,2008,Actor In A Supporting Role,John Travolta,Hairspray,Nominee
6388,2008,Actor In A Supporting Role,Tom Wilkinson,Michael Clayton,Nominee
6389,2008,Directing,Julian Schnabel,The Diving Bell And The Butterfly,Winner
6390,2008,Directing,Ridley Scott,American Gangster,Nominee
6391,2008,Directing,Joe Wright,Atonement,Nominee
6392,2008,Directing,Tim Burton,Sweeney Todd: The Demon Barber Of Fleet Street,Nominee
6393,2008,Directing,"Ethan Coen, Joel Coen",No Country For Old Men,Nominee
6394,2008,Writing (Original Screenplay),"Joel Coen, Ethan Coen",No Country For Old Men,Winner
6395,2008,Writing (Original Screenplay),Diablo Cody,Juno,Nominee
6396,2008,Writing (Original Screenplay),Christopher Hampton,Atonement,Nominee
6397,2008,Writing (Original Screenplay),Ronald Harwood,The Diving Bell And The Butterfly,Nominee
6398,2008,Writing (Original Screenplay),Aaron Sorkin,Charlie Wilson'S War,Nominee
6487,2009,Actress In A Leading Role - Drama,Kate Winslet,Revolutionary Road,Winner
6488,2009,Actress In A Leading Role - Drama,Meryl Streep,Doubt,Nominee
6489,2009,Actress In A Leading Role - Drama,Anne Hathaway,Rachel Getting Married,Nominee
6490,2009,Actress In A Leading Role - Drama,Angelina Jolie,Changeling,Nominee
6491,2009,Actress In A Leading Role - Drama,Kristin Scott Thomas,I'Ve Loved You So Long,Nominee
6492,2009,Actor In A Leading Role - Drama,Mickey Rourke,The Wrestler,Winner
6493,2009,Actor In A Leading Role - Drama,Brad Pitt,The Curious Case Of Benjamin Button,Nominee
6494,2009,Actor In A Leading Role - Drama,Leonardo DiCaprio,Revolutionary Road,Nominee
6495,2009,Actor In A Leading Role - Drama,Frank Langella,Frost/Nixon,Nominee
6496,2009,Actor In A Leading Role - Drama,Sean Penn,Milk,Nominee
6497,2009,Actress In A Leading Role - Musical or Comedy,Sally Hawkins,Happy-Go-Lucky,Winner
6498,2009,Actress In A Leading Role - Musical or Comedy,Rebecca Hall,Vicky Cristina Barcelona,Nominee
6499,2009,Actress In A Leading Role - Musical or Comedy,Frances McDormand,Burn After Reading,Nominee
6500,2009,Actress In A Leading Role - Musical or Comedy,Meryl Streep,Mamma Mia!,Nominee
6501,2009,Actress In A Leading Role - Musical or Comedy,Emma Thompson,Last Chance Harvey,Nominee
6502,2009,Actor In A Leading Role - Musical or Comedy,Colin Farrell,In Bruges,Winner
6503,2009,Actor In A Leading Role - Musical or Comedy,Javier Bardem,Vicky Cristina Barcelona,Nominee
6504,2009,Actor In A Leading Role - Musical or Comedy,James Franco,Pineapple Express,Nominee
6505,2009,Actor In A Leading Role - Musical or Comedy,Brendan Gleeson,In Bruges,Nominee
6506,2009,Actor In A Leading Role - Musical or Comedy,Dustin Hoffman,Last Chance Harvey,Nominee
6507,2009,Actress In A Supporting Role,Kate Winslet,"Reader, The",Winner
6508,2009,Actress In A Supporting Role,Penélope Cruz,Vicky Cristina Barcelona,Nominee
6509,2009,Actress In A Supporting Role,Viola Davis,Doubt,Nominee
6510,2009,Actress In A Supporting Role,Marisa Tomei,The Wrestler,Nominee
6511,2009,Actress In A Supporting Role,Amy Adams,Doubt,Nominee
6512,2009,Actor In A Supporting Role,Heath Ledger,"Dark Knight, The",Winner
6513,2009,Actor In A Supporting Role,Tom Cruise,Tropic Thunder,Nominee
6514,2009,Actor In A Supporting Role,Robert Downey Jr.,Tropic Thunder,Nominee
6515,2009,Actor In A Supporting Role,Ralph Fiennes,"Duchess, The",Nominee
6516,2009,Actor In A Supporting Role,Philip Seymour Hoffman,Doubt,Nominee
6517,2009,Directing,Danny Boyle,Slumdog Millionaire,Winner
6518,2009,Directing,Stephen Daldry,"Reader, The",Nominee
6519,2009,Directing,David Fincher,The Curious Case Of Benjamin Button,Nominee
6520,2009,Directing,Ron Howard,Frost/Nixon,Nominee
6521,2009,Directing,Sam Mendes,Revolutionary Road,Nominee
6522,2009,Writing (Original Screenplay),Simon Beaufoy,Slumdog Millionaire,Winner
6523,2009,Writing (Original Screenplay),Eric Roth,The Curious Case Of Benjamin Button,Nominee
6524,2009,Writing (Original Screenplay),John Patrick Shanley,Doubt,Nominee
6525,2009,Writing (Original Screenplay),David Hare,"Reader, The",Nominee
6526,2009,Writing (Original Screenplay),Peter Morgan,Frost/Nixon,Nominee
6611,2010,Actress In A Leading Role - Drama,Sandra Bullock,"Blind Side, The",Winner
6612,2010,Actress In A Leading Role - Drama,Emily Blunt,"Young Victoria, The",Nominee
6613,2010,Actress In A Leading Role - Drama,Helen Mirren,"Last Station, The",Nominee
6614,2010,Actress In A Leading Role - Drama,Carey Mulligan,"Education, An",Nominee
6615,2010,Actress In A Leading Role - Drama,Gabourey Sidibe,Precious: Based On The Novel Push By Sapphire,Nominee
6616,2010,Actor In A Leading Role - Drama,Jeff Bridges,Crazy Heart,Winner
6617,2010,Actor In A Leading Role - Drama,George Clooney,Up In The Air,Nominee
6618,2010,Actor In A Leading Role - Drama,Colin Firth,A Single Man,Nominee
6619,2010,Actor In A Leading Role - Drama,Morgan Freeman,Invictus,Nominee
6620,2010,Actor In A Leading Role - Drama,Tobey Maguire,Brothers,Nominee
6621,2010,Actress In A Leading Role - Musical or Comedy,Meryl Streep,Julie & Julia,Winner
6622,2010,Actress In A Leading Role - Musical or Comedy,Sandra Bullock,"Proposal, The",Nominee
6623,2010,Actress In A Leading Role - Musical or Comedy,Marion Cotillard,Nine,Nominee
6624,2010,Actress In A Leading Role - Musical or Comedy,Julia Roberts,Duplicity,Nominee
6625,2010,Actress In A Leading Role - Musical or Comedy,Meryl Streep,It'S Complicated,Nominee
6626,2010,Actor In A Leading Role - Musical or Comedy,Robert Downey Jr.,Sherlock Holmes,Winner
6627,2010,Actor In A Leading Role - Musical or Comedy,Matt Damon,The Informant!,Nominee
6628,2010,Actor In A Leading Role - Musical or Comedy,Daniel Day-Lewis,Nine,Nominee
6629,2010,Actor In A Leading Role - Musical or Comedy,Joseph Gordon-Levitt,(500) Days Of Summer,Nominee
6630,2010,Actor In A Leading Role - Musical or Comedy,Michael Stuhlbarg,"Serious Man, A",Nominee
6631,2010,Actress In A Supporting Role,Mo'Nique,Precious: Based On The Novel Push By Sapphire,Winner
6632,2010,Actress In A Supporting Role,Vera Farmiga,Up In The Air,Nominee
6633,2010,Actress In A Supporting Role,Anna Kendrick,Up In The Air,Nominee
6634,2010,Actress In A Supporting Role,Julianne Moore,A Single Man,Nominee
6635,2010,Actress In A Supporting Role,Penélope Cruz,Nine,Nominee
6636,2010,Actor In A Supporting Role,Christoph Waltz,Inglourious Basterds,Winner
6637,2010,Actor In A Supporting Role,Matt Damon,Invictus,Nominee
