,year_ceremony,category,film,name,cca
138,2009,Best Picture,Nine,Rob Marshall,Nominee
139,2009,Best Picture,Precious,Lee Daniels,Nominee
140,2009,Best Picture,A Serious Man,Joel Coen and Ethan Coen,Nominee
141,2009,Best Picture,Up,Pete Docter,Nominee
142,2009,Best Picture,Up in the Air,Jason Reitman,Nominee
143,2010,Best Picture,The Social Network,David Fincher,Winner
144,2010,Best Picture,127 Hours,Danny Boyle,Nominee
145,2010,Best Picture,Black Swan,Darren Aronofsky,Nominee
146,2010,Best Picture,The Fighter,David O. Russell,Nominee
147,2010,Best Picture,Inception,Christopher Nolan,Nominee
148,2010,Best Picture,The King's Speech,Tom Hooper,Nominee
149,2010,Best Picture,The Town,Ben Affleck,Nominee
150,2010,Best Picture,Toy Story 3,Lee Unkrich,Nominee
151,2010,Best Picture,True Grit,Joel Coen and Ethan Coen,Nominee
152,2010,Best Picture,Winter's Bone,Debra Granik,Nominee
153,2011,Best Picture,The Artist,Michel Hazanavicius,Winner
154,2011,Best Picture,The Descendants,Alexander Payne,Nominee
155,2011,Best Picture,Drive,Nicolas Winding Refn,Nominee
156,2011,Best Picture,Extremely Loud & Incredibly Close,Stephen Daldry,Nominee
157,2011,Best Picture,The Help,Tate Taylor,Nominee
158,2011,Best Picture,Hugo,Martin Scorsese,Nominee
159,2011,Best Picture,Midnight in Paris,Woody Allen,Nominee
160,2011,Best Picture,Moneyball,Bennett Miller,Nominee
161,2011,Best Picture,The Tree of Life,Terrence Malick,Nominee
162,2011,Best Picture,War Horse,Steven Spielberg,Nominee
163,2012,Best Picture,Argo,Ben Affleck,Winner
164,2012,Best Picture,Beasts of the Southern Wild,Benh Zeitlin,Nominee
165,2012,Best Picture,Django Unchained,Quentin Tarantino,Nominee
166,2012,Best Picture,Les Misérables,Tom Hooper,Nominee
167,2012,Best Picture,Life of Pi,Ang Lee,Nominee
168,2012,Best Picture,Lincoln,Steven Spielberg,Nominee
169,2012,Best Picture,The Master,Paul Thomas Anderson,Nominee
170,2012,Best Picture,Moonrise Kingdom,Wes Anderson,Nominee
171,2012,Best Picture,Silver Linings Playbook,David O. Russell,Nominee
172,2012,Best Picture,Zero Dark Thirty,Kathryn Bigelow,Nominee
173,2013,Best Picture,12 Years a Slave,Steve McQueen,Winner
174,2013,Best Picture,American Hustle,David O. Russell,Nominee
175,2013,Best Picture,Captain Phillips,Paul Greengrass,Nominee
176,2013,Best Picture,Dallas Buyers Club,Jean-Marc Vallée,Nominee
177,2013,Best Picture,Gravity,Alfonso Cuarón,Nominee
178,2013,Best Picture,Her,Spike Jonze,Nominee
179,2013,Best Picture,Inside Llewyn Davis,Joel Coen and Ethan Coen,Nominee
180,2013,Best Picture,Nebraska,Alexander Payne,Nominee
181,2013,Best Picture,Saving Mr. Banks,John Lee Hancock,Nominee
182,2013,Best Picture,The Wolf of Wall Street,Martin Scorsese,Nominee
183,2014,Best Picture,Boyhood,Richard Linklater,Winner
184,2014,Best Picture,Birdman,Alejandro G. Iñárritu,Nominee
185,2014,Best Picture,Gone Girl,David Fincher,Nominee
186,2014,Best Picture,The Grand Budapest Hotel,Wes Anderson,Nominee
