,year_ceremony,category,name,film,oscar
7886,1999,Writing (Adapted Screenplay),Scott Frank,Out Of Sight,Nominee
7887,1999,Writing (Adapted Screenplay),Elaine May,Primary Colors,Nominee
7888,1999,Writing (Adapted Screenplay),Scott B. Smith,A Simple Plan,Nominee
7889,1999,Writing (Adapted Screenplay),Terrence Malick,The Thin Red Line,Nominee
7890,1999,Writing (Original Screenplay),"Screenplay by Warren Beatty, Jeremy Pikser;  Story by Warren Beatty",Bulworth,Nominee
7891,1999,Writing (Original Screenplay),"Vincenzo Cerami, Roberto Benigni",Life Is Beautiful,Nominee
7892,1999,Writing (Original Screenplay),Robert Rodat,Saving Private Ryan,Nominee
7893,1999,Writing (Original Screenplay),"Marc Norman, Tom Stoppard",Shakespeare In Love,Winner
7894,1999,Writing (Original Screenplay),Andrew Niccol,The Truman Show,Nominee
7897,2000,Actor In A Leading Role,Russell Crowe,The Insider,Nominee
7898,2000,Actor In A Leading Role,Richard Farnsworth,The Straight Story,Nominee
7899,2000,Actor In A Leading Role,Sean Penn,Sweet And Lowdown,Nominee
7900,2000,Actor In A Leading Role,Kevin Spacey,American Beauty,Winner
7901,2000,Actor In A Leading Role,Denzel Washington,The Hurricane,Nominee
7902,2000,Actor In A Supporting Role,Michael Caine,The Cider House Rules,Winner
7903,2000,Actor In A Supporting Role,Tom Cruise,Magnolia,Nominee
7904,2000,Actor In A Supporting Role,Michael Clarke Duncan,The Green Mile,Nominee
7905,2000,Actor In A Supporting Role,Jude Law,The Talented Mr. Ripley,Nominee
7906,2000,Actor In A Supporting Role,Haley Joel Osment,The Sixth Sense,Nominee
7907,2000,Actress In A Leading Role,Annette Bening,American Beauty,Nominee
7908,2000,Actress In A Leading Role,Janet McTeer,Tumbleweeds,Nominee
7909,2000,Actress In A Leading Role,Julianne Moore,The End Of The Affair,Nominee
7910,2000,Actress In A Leading Role,Meryl Streep,Music Of The Heart,Nominee
7911,2000,Actress In A Leading Role,Hilary Swank,Boys Don'T Cry,Winner
7912,2000,Actress In A Supporting Role,Toni Collette,The Sixth Sense,Nominee
7913,2000,Actress In A Supporting Role,Angelina Jolie,"Girl, Interrupted",Winner
7914,2000,Actress In A Supporting Role,Catherine Keener,Being John Malkovich,Nominee
7915,2000,Actress In A Supporting Role,Samantha Morton,Sweet And Lowdown,Nominee
7916,2000,Actress In A Supporting Role,Chloë Sevigny,Boys Don'T Cry,Nominee
7932,2000,Directing,Sam Mendes,American Beauty,Winner
7933,2000,Directing,Spike Jonze,Being John Malkovich,Nominee
7934,2000,Directing,Lasse Hallström,The Cider House Rules,Nominee
7935,2000,Directing,Michael Mann,The Insider,Nominee
7936,2000,Directing,M. Night Shyamalan,The Sixth Sense,Nominee
7950,2000,International Feature Film,Spain,All About My Mother,Winner
7951,2000,International Feature Film,Nepal,Caravan,Nominee
7952,2000,International Feature Film,France,East-West,Nominee
7953,2000,International Feature Film,United Kingdom,Solomon And Gaenor,Nominee
7954,2000,International Feature Film,Sweden,Under The Sun,Nominee
7969,2000,Best Picture,"Bruce Cohen and Dan Jinks, Producers",American Beauty,Winner
7970,2000,Best Picture,"Richard N. Gladstein, Producer",The Cider House Rules,Nominee
7971,2000,Best Picture,"David Valdes and Frank Darabont, Producers",The Green Mile,Nominee
7972,2000,Best Picture,"Michael Mann and Pieter Jan Brugge, Producers",The Insider,Nominee
7973,2000,Best Picture,"Frank Marshall, Kathleen Kennedy and Barry Mendel, Producers",The Sixth Sense,Nominee
7995,2000,Writing (Adapted Screenplay),John Irving,The Cider House Rules,Winner
7996,2000,Writing (Adapted Screenplay),"Alexander Payne, Jim Taylor",Election,Nominee
7997,2000,Writing (Adapted Screenplay),Frank Darabont,The Green Mile,Nominee
7998,2000,Writing (Adapted Screenplay),"Eric Roth, Michael Mann",The Insider,Nominee
7999,2000,Writing (Adapted Screenplay),Anthony Minghella,The Talented Mr. Ripley,Nominee
8000,2000,Writing (Original Screenplay),Alan Ball,American Beauty,Winner
8001,2000,Writing (Original Screenplay),Charlie Kaufman,Being John Malkovich,Nominee
8002,2000,Writing (Original Screenplay),Paul Thomas Anderson,Magnolia,Nominee
8003,2000,Writing (Original Screenplay),M. Night Shyamalan,The Sixth Sense,Nominee
8004,2000,Writing (Original Screenplay),Mike Leigh,Topsy-Turvy,Nominee
8007,2001,Actor In A Leading Role,Javier Bardem,Before Night Falls,Nominee
8008,2001,Actor In A Leading Role,Russell Crowe,Gladiator,Winner
8009,2001,Actor In A Leading Role,Tom Hanks,Cast Away,Nominee
8010,2001,Actor In A Leading Role,Ed Harris,Pollock,Nominee
8011,2001,Actor In A Leading Role,Geoffrey Rush,Quills,Nominee
8012,2001,Actor In A Supporting Role,Jeff Bridges,The Contender,Nominee
8013,2001,Actor In A Supporting Role,Willem Dafoe,Shadow Of The Vampire,Nominee
8014,2001,Actor In A Supporting Role,Benicio Del Toro,Traffic,Winner
8015,2001,Actor In A Supporting Role,Albert Finney,Erin Brockovich,Nominee
8016,2001,Actor In A Supporting Role,Joaquin Phoenix,Gladiator,Nominee
8017,2001,Actress In A Leading Role,Joan Allen,The Contender,Nominee
8018,2001,Actress In A Leading Role,Juliette Binoche,Chocolat,Nominee
8019,2001,Actress In A Leading Role,Ellen Burstyn,Requiem For A Dream,Nominee
8020,2001,Actress In A Leading Role,Laura Linney,You Can Count On Me,Nominee
8021,2001,Actress In A Leading Role,Julia Roberts,Erin Brockovich,Winner
8022,2001,Actress In A Supporting Role,Judi Dench,Chocolat,Nominee
8023,2001,Actress In A Supporting Role,Marcia Gay Harden,Pollock,Winner
8024,2001,Actress In A Supporting Role,Kate Hudson,Almost Famous,Nominee
8025,2001,Actress In A Supporting Role,Frances McDormand,Almost Famous,Nominee
8026,2001,Actress In A Supporting Role,Julie Walters,Billy Elliot,Nominee
8042,2001,Directing,Stephen Daldry,Billy Elliot,Nominee
8043,2001,Directing,Ang Lee,"Crouching Tiger, Hidden Dragon",Nominee
8044,2001,Directing,Steven Soderbergh,Erin Brockovich,Nominee
8045,2001,Directing,Ridley Scott,Gladiator,Nominee
8046,2001,Directing,Steven Soderbergh,Traffic,Winner
8062,2001,International Feature Film,Mexico,Amores Perros,Nominee
8063,2001,International Feature Film,Taiwan,"Crouching Tiger, Hidden Dragon",Winner
8064,2001,International Feature Film,Czech Republic,Divided We Fall,Nominee
8065,2001,International Feature Film,Belgium,Everybody Famous!,Nominee
8066,2001,International Feature Film,France,The Taste Of Others,Nominee
8080,2001,Best Picture,"David Brown, Kit Golden and Leslie Holleran, Producers",Chocolat,Nominee
8081,2001,Best Picture,"Bill Kong, Hsu Li Kong and Ang Lee, Producers","Crouching Tiger, Hidden Dragon",Nominee
8082,2001,Best Picture,"Danny DeVito, Michael Shamberg and Stacey Sher, Producers",Erin Brockovich,Nominee
8083,2001,Best Picture,"Douglas Wick, David Franzoni and Branko Lustig, Producers",Gladiator,Winner
8084,2001,Best Picture,"Edward Zwick, Marshall Herskovitz and Laura Bickford, Producers",Traffic,Nominee
8103,2001,Writing (Adapted Screenplay),Screenplay by Robert Nelson Jacobs,Chocolat,Nominee
8104,2001,Writing (Adapted Screenplay),Written by Wang Hui Ling and James Schamus and Tsai Kuo Jung,"Crouching Tiger, Hidden Dragon",Nominee
8105,2001,Writing (Adapted Screenplay),Written by Ethan Coen & Joel Coen,"O Brother, Where Art Thou?",Nominee
8106,2001,Writing (Adapted Screenplay),Screenplay by Stephen Gaghan,Traffic,Winner
8107,2001,Writing (Adapted Screenplay),Screenplay by Steve Kloves,Wonder Boys,Nominee
8108,2001,Writing (Original Screenplay),Written by Cameron Crowe,Almost Famous,Winner
8109,2001,Writing (Original Screenplay),Written by Lee Hall,Billy Elliot,Nominee
8110,2001,Writing (Original Screenplay),Written by Susannah Grant,Erin Brockovich,Nominee
8111,2001,Writing (Original Screenplay),Screenplay by David Franzoni and John Logan and William Nicholson;  Story by David Franzoni,Gladiator,Nominee
8112,2001,Writing (Original Screenplay),Written by Kenneth Lonergan,You Can Count On Me,Nominee
8116,2002,Actor In A Leading Role,Russell Crowe,A Beautiful Mind,Nominee
8117,2002,Actor In A Leading Role,Sean Penn,I Am Sam,Nominee
8118,2002,Actor In A Leading Role,Will Smith,Ali,Nominee
8119,2002,Actor In A Leading Role,Denzel Washington,Training Day,Winner
8120,2002,Actor In A Leading Role,Tom Wilkinson,In The Bedroom,Nominee
8121,2002,Actor In A Supporting Role,Jim Broadbent,Iris,Winner
8122,2002,Actor In A Supporting Role,Ethan Hawke,Training Day,Nominee
8123,2002,Actor In A Supporting Role,Ben Kingsley,Sexy Beast,Nominee
8124,2002,Actor In A Supporting Role,Ian McKellen,The Lord Of The Rings: The Fellowship Of The Ring,Nominee
8125,2002,Actor In A Supporting Role,Jon Voight,Ali,Nominee
8126,2002,Actress In A Leading Role,Halle Berry,Monster'S Ball,Winner
8127,2002,Actress In A Leading Role,Judi Dench,Iris,Nominee
8128,2002,Actress In A Leading Role,Nicole Kidman,Moulin Rouge,Nominee
8129,2002,Actress In A Leading Role,Sissy Spacek,In The Bedroom,Nominee
8130,2002,Actress In A Leading Role,Renée Zellweger,Bridget Jones'S Diary,Nominee
8131,2002,Actress In A Supporting Role,Jennifer Connelly,A Beautiful Mind,Winner
8132,2002,Actress In A Supporting Role,Helen Mirren,Gosford Park,Nominee
8133,2002,Actress In A Supporting Role,Maggie Smith,Gosford Park,Nominee
8134,2002,Actress In A Supporting Role,Marisa Tomei,In The Bedroom,Nominee
8135,2002,Actress In A Supporting Role,Kate Winslet,Iris,Nominee
8154,2002,Directing,Ron Howard,A Beautiful Mind,Winner
8155,2002,Directing,Ridley Scott,Black Hawk Down,Nominee
8156,2002,Directing,Robert Altman,Gosford Park,Nominee
8157,2002,Directing,Peter Jackson,The Lord Of The Rings: The Fellowship Of The Ring,Nominee
8158,2002,Directing,David Lynch,Mulholland Drive,Nominee
8172,2002,International Feature Film,France,Amélie,Nominee
8173,2002,International Feature Film,Norway,Elling,Nominee
8174,2002,International Feature Film,India,Lagaan,Nominee
8175,2002,International Feature Film,Bosnia & Herzegovina,No Man'S Land,Winner
8176,2002,International Feature Film,Argentina,Son Of The Bride,Nominee
8190,2002,Best Picture,"Brian Grazer and Ron Howard, Producers",A Beautiful Mind,Winner
8191,2002,Best Picture,"Robert Altman, Bob Balaban and David Levy, Producers",Gosford Park,Nominee
8192,2002,Best Picture,"Graham Leader, Ross Katz and Todd Field, Producers",In The Bedroom,Nominee
8193,2002,Best Picture,"Peter Jackson, Fran Walsh and Barrie M. Osborne, Producers",The Lord Of The Rings: The Fellowship Of The Ring,Nominee
8194,2002,Best Picture,"Martin Brown, Baz Luhrmann and Fred Baron, Producers",Moulin Rouge,Nominee
8215,2002,Writing (Adapted Screenplay),Written by Akiva Goldsman,A Beautiful Mind,Winner
8216,2002,Writing (Adapted Screenplay),Written by Daniel Clowes & Terry Zwigoff,Ghost World,Nominee
8217,2002,Writing (Adapted Screenplay),Screenplay by Rob Festinger and Todd Field,In The Bedroom,Nominee
8218,2002,Writing (Adapted Screenplay),"Screenplay by Fran Walsh, Philippa Boyens, Peter Jackson",The Lord Of The Rings: The Fellowship Of The Ring,Nominee
8219,2002,Writing (Adapted Screenplay),Written by Ted Elliott & Terry Rossio and Joe Stillman and Roger S.H. Schulman,Shrek,Nominee
8220,2002,Writing (Original Screenplay),Screenplay by Guillaume Laurant and Jean-Pierre Jeunet; Dialogue by Guillaume Laurant,Amélie,Nominee
8221,2002,Writing (Original Screenplay),Written by Julian Fellowes,Gosford Park,Winner
8222,2002,Writing (Original Screenplay),Screenplay by Christopher Nolan; Story by Jonathan Nolan,Memento,Nominee
8223,2002,Writing (Original Screenplay),Written by Milo Addica & Will Rokos,Monster'S Ball,Nominee
8224,2002,Writing (Original Screenplay),Written by Wes Anderson & Owen Wilson,The Royal Tenenbaums,Nominee
8228,2003,Actor In A Leading Role,Adrien Brody,The Pianist,Winner
8229,2003,Actor In A Leading Role,Nicolas Cage,Adaptation,Nominee
8230,2003,Actor In A Leading Role,Michael Caine,The Quiet American,Nominee
8231,2003,Actor In A Leading Role,Daniel Day-Lewis,Gangs Of New York,Nominee
8232,2003,Actor In A Leading Role,Jack Nicholson,About Schmidt,Nominee
8233,2003,Actor In A Supporting Role,Chris Cooper,Adaptation,Winner
8234,2003,Actor In A Supporting Role,Ed Harris,The Hours,Nominee
8235,2003,Actor In A Supporting Role,Paul Newman,Road To Perdition,Nominee
8236,2003,Actor In A Supporting Role,John C. Reilly,Chicago,Nominee
8237,2003,Actor In A Supporting Role,Christopher Walken,Catch Me If You Can,Nominee
8238,2003,Actress In A Leading Role,Salma Hayek,Frida,Nominee
8239,2003,Actress In A Leading Role,Nicole Kidman,The Hours,Winner
8240,2003,Actress In A Leading Role,Diane Lane,Unfaithful,Nominee
8241,2003,Actress In A Leading Role,Julianne Moore,Far From Heaven,Nominee
8242,2003,Actress In A Leading Role,Renée Zellweger,Chicago,Nominee
8243,2003,Actress In A Supporting Role,Kathy Bates,About Schmidt,Nominee
8244,2003,Actress In A Supporting Role,Julianne Moore,The Hours,Nominee
8245,2003,Actress In A Supporting Role,Queen Latifah,Chicago,Nominee
8246,2003,Actress In A Supporting Role,Meryl Streep,Adaptation,Nominee
8247,2003,Actress In A Supporting Role,Catherine Zeta-Jones,Chicago,Winner
8268,2003,Directing,Rob Marshall,Chicago,Nominee
8269,2003,Directing,Martin Scorsese,Gangs Of New York,Nominee
8270,2003,Directing,Stephen Daldry,The Hours,Nominee
8271,2003,Directing,Roman Polanski,The Pianist,Winner
8272,2003,Directing,Pedro Almodóvar,Talk To Her,Nominee
8287,2003,International Feature Film,Mexico,El Crimen Del Padre Amaro,Nominee
8288,2003,International Feature Film,People's Republic of China,Hero,Nominee
8289,2003,International Feature Film,Finland,The Man Without A Past,Nominee
8290,2003,International Feature Film,Germany,Nowhere In Africa,Winner
8291,2003,International Feature Film,The Netherlands,Zus & Zo,Nominee
8304,2003,Best Picture,"Martin Richards, Producer",Chicago,Winner
8305,2003,Best Picture,"Alberto Grimaldi and Harvey Weinstein, Producers",Gangs Of New York,Nominee
8306,2003,Best Picture,"Scott Rudin and Robert Fox, Producers",The Hours,Nominee
8307,2003,Best Picture,"Barrie M. Osborne, Fran Walsh and Peter Jackson, Producers",The Lord Of The Rings: The Two Towers,Nominee
8308,2003,Best Picture,"Roman Polanski, Robert Benmussa and Alain Sarde, Producers",The Pianist,Nominee
8330,2003,Writing (Adapted Screenplay),Screenplay by Peter Hedges and Chris Weitz & Paul Weitz,About A Boy,Nominee
8331,2003,Writing (Adapted Screenplay),Screenplay by Charlie Kaufman and Donald Kaufman,Adaptation,Nominee
8332,2003,Writing (Adapted Screenplay),Screenplay by Bill Condon,Chicago,Nominee
8333,2003,Writing (Adapted Screenplay),Screenplay by David Hare,The Hours,Nominee
8334,2003,Writing (Adapted Screenplay),Screenplay by Ronald Harwood,The Pianist,Winner
8335,2003,Writing (Original Screenplay),Written by Todd Haynes,Far From Heaven,Nominee
8336,2003,Writing (Original Screenplay),Screenplay by Jay Cocks and Steve Zaillian and Kenneth Lonergan; Story by Jay Cocks,Gangs Of New York,Nominee
8337,2003,Writing (Original Screenplay),Written by Nia Vardalos,My Big Fat Greek Wedding,Nominee
8338,2003,Writing (Original Screenplay),Written by Pedro Almodóvar,Talk To Her,Winner
8339,2003,Writing (Original Screenplay),Written by Carlos Cuarón and Alfonso Cuarón,Y Tu Mamá También,Nominee
8341,2004,Actor In A Leading Role,Johnny Depp,Pirates Of The Caribbean: The Curse Of The Black Pearl,Nominee
8342,2004,Actor In A Leading Role,Ben Kingsley,House Of Sand And Fog,Nominee
8343,2004,Actor In A Leading Role,Jude Law,Cold Mountain,Nominee
8344,2004,Actor In A Leading Role,Bill Murray,Lost In Translation,Nominee
8345,2004,Actor In A Leading Role,Sean Penn,Mystic River,Winner
8346,2004,Actor In A Supporting Role,Alec Baldwin,The Cooler,Nominee
8347,2004,Actor In A Supporting Role,Benicio Del Toro,21 Grams,Nominee
8348,2004,Actor In A Supporting Role,Djimon Hounsou,In America,Nominee
8349,2004,Actor In A Supporting Role,Tim Robbins,Mystic River,Winner
8350,2004,Actor In A Supporting Role,Ken Watanabe,The Last Samurai,Nominee
8351,2004,Actress In A Leading Role,Keisha Castle-Hughes,Whale Rider,Nominee
8352,2004,Actress In A Leading Role,Diane Keaton,Something'S Gotta Give,Nominee
8353,2004,Actress In A Leading Role,Samantha Morton,In America,Nominee
8354,2004,Actress In A Leading Role,Charlize Theron,Monster,Winner
8355,2004,Actress In A Leading Role,Naomi Watts,21 Grams,Nominee
8356,2004,Actress In A Supporting Role,Shohreh Aghdashloo,House Of Sand And Fog,Nominee
8357,2004,Actress In A Supporting Role,Patricia Clarkson,Pieces Of April,Nominee
8358,2004,Actress In A Supporting Role,Marcia Gay Harden,Mystic River,Nominee
8359,2004,Actress In A Supporting Role,Holly Hunter,Thirteen,Nominee
8360,2004,Actress In A Supporting Role,Renée Zellweger,Cold Mountain,Winner
8379,2004,Directing,Fernando Meirelles,City Of God,Nominee
8380,2004,Directing,Peter Jackson,The Lord Of The Rings: The Return Of The King,Winner
8381,2004,Directing,Sofia Coppola,Lost In Translation,Nominee
8382,2004,Directing,Peter Weir,Master And Commander: The Far Side Of The World,Nominee
8383,2004,Directing,Clint Eastwood,Mystic River,Nominee
8397,2004,International Feature Film,Canada,The Barbarian Invasions,Winner
8398,2004,International Feature Film,Sweden,Evil,Nominee
8399,2004,International Feature Film,Japan,The Twilight Samurai,Nominee
8400,2004,International Feature Film,The Netherlands,Twin Sisters,Nominee
8401,2004,International Feature Film,Czech Republic,Zelary,Nominee
8415,2004,Best Picture,"Barrie M. Osborne, Peter Jackson and Fran Walsh, Producers",The Lord Of The Rings: The Return Of The King,Winner
8416,2004,Best Picture,"Ross Katz and Sofia Coppola, Producers",Lost In Translation,Nominee
8417,2004,Best Picture,"Samuel Goldwyn, Jr., Peter Weir and Duncan Henderson, Producers",Master And Commander: The Far Side Of The World,Nominee
8418,2004,Best Picture,"Robert Lorenz, Judie G. Hoyt and Clint Eastwood, Producers",Mystic River,Nominee
8419,2004,Best Picture,"Kathleen Kennedy, Frank Marshall and Gary Ross, Producers",Seabiscuit,Nominee
8441,2004,Writing (Adapted Screenplay),Written by Robert Pulcini & Shari Springer Berman,American Splendor,Nominee
8442,2004,Writing (Adapted Screenplay),Screenplay by Braulio Mantovani,City Of God,Nominee
8443,2004,Writing (Adapted Screenplay),"Screenplay by Fran Walsh, Philippa Boyens & Peter Jackson",The Lord Of The Rings: The Return Of The King,Winner
8444,2004,Writing (Adapted Screenplay),Screenplay by Brian Helgeland,Mystic River,Nominee
8445,2004,Writing (Adapted Screenplay),Written for the Screen by Gary Ross,Seabiscuit,Nominee
8446,2004,Writing (Original Screenplay),Written by Denys Arcand,The Barbarian Invasions,Nominee
8447,2004,Writing (Original Screenplay),Written by Steven Knight,Dirty Pretty Things,Nominee
8448,2004,Writing (Original Screenplay),"Screenplay by Andrew Stanton, Bob Peterson and David Reynolds; Original Story by Andrew Stanton",Finding Nemo,Nominee
8449,2004,Writing (Original Screenplay),Written by Jim Sheridan & Naomi Sheridan & Kirsten Sheridan,In America,Nominee
8450,2004,Writing (Original Screenplay),Written by Sofia Coppola,Lost In Translation,Winner
8452,2005,Actor In A Leading Role,Don Cheadle,Hotel Rwanda,Nominee
8453,2005,Actor In A Leading Role,Johnny Depp,Finding Neverland,Nominee
8454,2005,Actor In A Leading Role,Leonardo DiCaprio,The Aviator,Nominee
8455,2005,Actor In A Leading Role,Clint Eastwood,Million Dollar Baby,Nominee
8456,2005,Actor In A Leading Role,Jamie Foxx,Ray,Winner
8457,2005,Actor In A Supporting Role,Alan Alda,The Aviator,Nominee
8458,2005,Actor In A Supporting Role,Thomas Haden Church,Sideways,Nominee
8459,2005,Actor In A Supporting Role,Jamie Foxx,Collateral,Nominee
8460,2005,Actor In A Supporting Role,Morgan Freeman,Million Dollar Baby,Winner
8461,2005,Actor In A Supporting Role,Clive Owen,Closer,Nominee
8462,2005,Actress In A Leading Role,Annette Bening,Being Julia,Nominee
8463,2005,Actress In A Leading Role,Catalina Sandino Moreno,Maria Full Of Grace,Nominee
8464,2005,Actress In A Leading Role,Imelda Staunton,Vera Drake,Nominee
8465,2005,Actress In A Leading Role,Hilary Swank,Million Dollar Baby,Winner
8466,2005,Actress In A Leading Role,Kate Winslet,Eternal Sunshine Of The Spotless Mind,Nominee
8467,2005,Actress In A Supporting Role,Cate Blanchett,The Aviator,Winner
8468,2005,Actress In A Supporting Role,Laura Linney,Kinsey,Nominee
8469,2005,Actress In A Supporting Role,Virginia Madsen,Sideways,Nominee
8470,2005,Actress In A Supporting Role,Sophie Okonedo,Hotel Rwanda,Nominee
8471,2005,Actress In A Supporting Role,Natalie Portman,Closer,Nominee
8490,2005,Directing,Martin Scorsese,The Aviator,Nominee
8491,2005,Directing,Clint Eastwood,Million Dollar Baby,Winner
8492,2005,Directing,Taylor Hackford,Ray,Nominee
8493,2005,Directing,Alexander Payne,Sideways,Nominee
8494,2005,Directing,Mike Leigh,Vera Drake,Nominee
8510,2005,International Feature Film,Sweden,As It Is In Heaven,Nominee
8511,2005,International Feature Film,France,The Chorus (Les Choristes),Nominee
8512,2005,International Feature Film,Germany,Downfall,Nominee
8513,2005,International Feature Film,Spain,The Sea Inside,Winner
8514,2005,International Feature Film,South Africa,Yesterday,Nominee
8528,2005,Best Picture,"Michael Mann and Graham King, Producers",The Aviator,Nominee
8529,2005,Best Picture,"Richard N. Gladstein and Nellie Bellflower, Producers",Finding Neverland,Nominee
8530,2005,Best Picture,"Clint Eastwood, Albert S. Ruddy and Tom Rosenberg, Producers",Million Dollar Baby,Winner
8531,2005,Best Picture,"Taylor Hackford, Stuart Benjamin and Howard Baldwin, Producers",Ray,Nominee
8532,2005,Best Picture,"Michael London, Producer",Sideways,Nominee
8554,2005,Writing (Adapted Screenplay),Screenplay by Richard Linklater & Julie Delpy & Ethan Hawke; Story by Richard Linklater & Kim Krizan,Before Sunset,Nominee
8555,2005,Writing (Adapted Screenplay),Screenplay by David Magee,Finding Neverland,Nominee
8556,2005,Writing (Adapted Screenplay),Screenplay by Paul Haggis,Million Dollar Baby,Nominee
8557,2005,Writing (Adapted Screenplay),Screenplay by José Rivera,The Motorcycle Diaries,Nominee
8558,2005,Writing (Adapted Screenplay),Screenplay by Alexander Payne & Jim Taylor,Sideways,Winner
8559,2005,Writing (Original Screenplay),Written by John Logan,The Aviator,Nominee
8560,2005,Writing (Original Screenplay),Screenplay by Charlie Kaufman; Story by Charlie Kaufman & Michel Gondry & Pierre Bismuth,Eternal Sunshine Of The Spotless Mind,Winner
8561,2005,Writing (Original Screenplay),Written by Keir Pearson & Terry George,Hotel Rwanda,Nominee
8562,2005,Writing (Original Screenplay),Written by Brad Bird,The Incredibles,Nominee
8563,2005,Writing (Original Screenplay),Written by Mike Leigh,Vera Drake,Nominee
8566,2006,Actor In A Leading Role,Philip Seymour Hoffman,Capote,Winner
8567,2006,Actor In A Leading Role,Terrence Howard,Hustle & Flow,Nominee
8568,2006,Actor In A Leading Role,Heath Ledger,Brokeback Mountain,Nominee
8569,2006,Actor In A Leading Role,Joaquin Phoenix,Walk The Line,Nominee
8570,2006,Actor In A Leading Role,David Strathairn,"Good Night, And Good Luck.",Nominee
8571,2006,Actor In A Supporting Role,George Clooney,Syriana,Winner
8572,2006,Actor In A Supporting Role,Matt Dillon,Crash,Nominee
8573,2006,Actor In A Supporting Role,Paul Giamatti,Cinderella Man,Nominee
8574,2006,Actor In A Supporting Role,Jake Gyllenhaal,Brokeback Mountain,Nominee
8575,2006,Actor In A Supporting Role,William Hurt,A History Of Violence,Nominee
8576,2006,Actress In A Leading Role,Judi Dench,Mrs. Henderson Presents,Nominee
8577,2006,Actress In A Leading Role,Felicity Huffman,Transamerica,Nominee
8578,2006,Actress In A Leading Role,Keira Knightley,Pride & Prejudice,Nominee
8579,2006,Actress In A Leading Role,Charlize Theron,North Country,Nominee
8580,2006,Actress In A Leading Role,Reese Witherspoon,Walk The Line,Winner
8581,2006,Actress In A Supporting Role,Amy Adams,Junebug,Nominee
