,year_ceremony,category,name,film,oscar
8582,2006,Actress In A Supporting Role,Catherine Keener,Capote,Nominee
8583,2006,Actress In A Supporting Role,Frances McDormand,North Country,Nominee
8584,2006,Actress In A Supporting Role,Rachel Weisz,The Constant Gardener,Winner
8585,2006,Actress In A Supporting Role,Michelle Williams,Brokeback Mountain,Nominee
8604,2006,Directing,Ang Lee,Brokeback Mountain,Winner
8605,2006,Directing,Bennett Miller,Capote,Nominee
8606,2006,Directing,Paul Haggis,Crash,Nominee
8607,2006,Directing,George Clooney,"Good Night, And Good Luck.",Nominee
8608,2006,Directing,Steven Spielberg,Munich,Nominee
8623,2006,International Feature Film,Italy,Don'T Tell,Nominee
8624,2006,International Feature Film,France,Joyeux Noël,Nominee
8625,2006,International Feature Film,The Palestinian Territories,Paradise Now,Nominee
8626,2006,International Feature Film,Germany,Sophie Scholl - The Final Days,Nominee
8627,2006,International Feature Film,South Africa,Tsotsi,Winner
8639,2006,Best Picture,"Diana Ossana and James Schamus, Producers",Brokeback Mountain,Nominee
8640,2006,Best Picture,"Caroline Baron, William Vince and Michael Ohoven, Producers",Capote,Nominee
8641,2006,Best Picture,"Paul Haggis and Cathy Schulman, Producers",Crash,Winner
8642,2006,Best Picture,"Grant Heslov, Producer","Good Night, And Good Luck.",Nominee
8643,2006,Best Picture,"Kathleen Kennedy, Steven Spielberg and Barry Mendel, Producers",Munich,Nominee
8665,2006,Writing (Adapted Screenplay),Screenplay by Larry McMurtry & Diana Ossana,Brokeback Mountain,Winner
8666,2006,Writing (Adapted Screenplay),Screenplay by Dan Futterman,Capote,Nominee
8667,2006,Writing (Adapted Screenplay),Screenplay by Jeffrey Caine,The Constant Gardener,Nominee
8668,2006,Writing (Adapted Screenplay),Screenplay by Josh Olson,A History Of Violence,Nominee
8669,2006,Writing (Adapted Screenplay),Screenplay by Tony Kushner and Eric Roth,Munich,Nominee
8670,2006,Writing (Original Screenplay),Screenplay by Paul Haggis & Bobby Moresco; Story by Paul Haggis,Crash,Winner
8671,2006,Writing (Original Screenplay),Screenplay by George Clooney & Grant Heslov,"Good Night, And Good Luck.",Nominee
8672,2006,Writing (Original Screenplay),Written by Woody Allen,Match Point,Nominee
8673,2006,Writing (Original Screenplay),Written by Noah Baumbach,The Squid And The Whale,Nominee
8674,2006,Writing (Original Screenplay),Written by Stephen Gaghan,Syriana,Nominee
8676,2007,Actor In A Leading Role,Leonardo DiCaprio,Blood Diamond,Nominee
8677,2007,Actor In A Leading Role,Ryan Gosling,Half Nelson,Nominee
8678,2007,Actor In A Leading Role,Peter O'Toole,Venus,Nominee
8679,2007,Actor In A Leading Role,Will Smith,The Pursuit Of Happyness,Nominee
8680,2007,Actor In A Leading Role,Forest Whitaker,The Last King Of Scotland,Winner
8681,2007,Actor In A Supporting Role,Alan Arkin,Little Miss Sunshine,Winner
8682,2007,Actor In A Supporting Role,Jackie Earle Haley,Little Children,Nominee
8683,2007,Actor In A Supporting Role,Djimon Hounsou,Blood Diamond,Nominee
8684,2007,Actor In A Supporting Role,Eddie Murphy,Dreamgirls,Nominee
8685,2007,Actor In A Supporting Role,Mark Wahlberg,The Departed,Nominee
8686,2007,Actress In A Leading Role,Penélope Cruz,Volver,Nominee
8687,2007,Actress In A Leading Role,Judi Dench,Notes On A Scandal,Nominee
8688,2007,Actress In A Leading Role,Helen Mirren,The Queen,Winner
8689,2007,Actress In A Leading Role,Meryl Streep,The Devil Wears Prada,Nominee
8690,2007,Actress In A Leading Role,Kate Winslet,Little Children,Nominee
8691,2007,Actress In A Supporting Role,Adriana Barraza,Babel,Nominee
8692,2007,Actress In A Supporting Role,Cate Blanchett,Notes On A Scandal,Nominee
8693,2007,Actress In A Supporting Role,Abigail Breslin,Little Miss Sunshine,Nominee
8694,2007,Actress In A Supporting Role,Jennifer Hudson,Dreamgirls,Winner
8695,2007,Actress In A Supporting Role,Rinko Kikuchi,Babel,Nominee
8714,2007,Directing,Alejandro González Iñárritu,Babel,Nominee
8715,2007,Directing,Martin Scorsese,The Departed,Winner
8716,2007,Directing,Clint Eastwood,Letters From Iwo Jima,Nominee
8717,2007,Directing,Stephen Frears,The Queen,Nominee
8718,2007,Directing,Paul Greengrass,United 93,Nominee
8733,2007,International Feature Film,Denmark,After The Wedding,Nominee
8734,2007,International Feature Film,Algeria,Days Of Glory (Indigènes),Nominee
8735,2007,International Feature Film,Germany,The Lives Of Others,Winner
8736,2007,International Feature Film,Mexico,Pan'S Labyrinth,Nominee
8737,2007,International Feature Film,Canada,Water,Nominee
8751,2007,Best Picture,"Alejandro González Iñárritu, Jon Kilik and Steve Golin, Producers",Babel,Nominee
8752,2007,Best Picture,"Graham King, Producer",The Departed,Winner
8753,2007,Best Picture,"Clint Eastwood, Steven Spielberg and Robert Lorenz, Producers",Letters From Iwo Jima,Nominee
8754,2007,Best Picture,"David T. Friendly, Peter Saraf and Marc Turtletaub, Producers",Little Miss Sunshine,Nominee
8755,2007,Best Picture,"Andy Harries, Christine Langan and Tracey Seaward, Producers",The Queen,Nominee
8779,2007,Writing (Adapted Screenplay),Screenplay by Sacha Baron Cohen & Anthony Hines & Peter Baynham & Dan Mazer; Story by Sacha Baron Cohen & Peter Baynham & Anthony Hines & Todd Phillips,Borat Cultural Learnings Of America For Make Benefit Glorious Nation Of Kazakhstan,Nominee
