,year_ceremony,category,name,film,oscar,golden_globe,sag,cca
109,1992,Actress In A Supporting Role,Jessica Tandy,Fried Green Tomatoes,Nominee,No,No,No
110,1992,Directing,John Singleton,Boyz N The Hood,Nominee,No,No,No
111,1992,Directing,Barry Levinson,Bugsy,Nominee,No,No,No
112,1992,Directing,Oliver Stone,Jfk,Nominee,No,No,No
113,1992,Directing,Jonathan Demme,"Silence Of The Lambs, The",Winner,No,No,No
114,1992,Directing,Ridley Scott,Thelma & Louise,Nominee,No,No,No
115,1992,International Feature Film,Iceland,Children Of Nature,Nominee,No,No,No
116,1992,International Feature Film,Czechoslovakia,The Elementary School,Nominee,No,No,No
117,1992,International Feature Film,Italy,Mediterraneo,Winner,No,No,No
118,1992,International Feature Film,Sweden,The Ox,Nominee,No,No,No
119,1992,International Feature Film,Hong Kong,Raise The Red Lantern,Nominee,No,No,No
120,1992,Best Picture,"Don Hahn, Producer",Beauty And The Beast,Nominee,No,No,No
121,1992,Best Picture,"Mark Johnson, Barry Levinson and Warren Beatty, Producers",Bugsy,Nominee,No,No,No
122,1992,Best Picture,"A. Kitman Ho and Oliver Stone, Producers",Jfk,Nominee,No,No,No
123,1992,Best Picture,"Barbra Streisand and Andrew Karsch, Producers","Prince Of Tides, The",Nominee,No,No,No
124,1992,Best Picture,"Edward Saxon, Kenneth Utt and Ron Bozman, Producers","Silence Of The Lambs, The",Winner,No,No,No
125,1992,Writing (Adapted Screenplay),Agnieszka Holland,Europa Europa,Nominee,No,No,No
126,1992,Writing (Adapted Screenplay),"Fannie Flagg, Carol Sobieski",Fried Green Tomatoes,Nominee,No,No,No
127,1992,Writing (Adapted Screenplay),"Oliver Stone, Zachary Sklar",Jfk,Nominee,No,No,No
128,1992,Writing (Adapted Screenplay),"Pat Conroy, Becky Johnston","Prince Of Tides, The",Nominee,No,No,No
129,1992,Writing (Adapted Screenplay),Ted Tally,"Silence Of The Lambs, The",Winner,No,No,No
130,1992,Writing (Original Screenplay),John Singleton,Boyz N The Hood,Nominee,No,No,No
131,1992,Writing (Original Screenplay),James Toback,Bugsy,Nominee,No,No,No
132,1992,Writing (Original Screenplay),Richard LaGravenese,"Fisher King, The",Nominee,No,No,No
133,1992,Writing (Original Screenplay),"Lawrence Kasdan, Meg Kasdan",Grand Canyon,Nominee,No,No,No
134,1992,Writing (Original Screenplay),Callie Khouri,Thelma & Louise,Winner,No,No,No
135,1993,Actor In A Leading Role,Robert Downey Jr.,Chaplin,Nominee,No,No,No
136,1993,Actor In A Leading Role,Clint Eastwood,Unforgiven,Nominee,No,No,No
137,1993,Actor In A Leading Role,Al Pacino,Scent Of A Woman,Winner,No,No,No
138,1993,Actor In A Leading Role,Stephen Rea,The Crying Game,Nominee,No,No,No
139,1993,Actor In A Leading Role,Denzel Washington,Malcolm X,Nominee,No,No,No
140,1993,Actor In A Supporting Role,Jaye Davidson,The Crying Game,Nominee,No,No,No
141,1993,Actor In A Supporting Role,Gene Hackman,Unforgiven,Winner,No,No,No
142,1993,Actor In A Supporting Role,Jack Nicholson,"Few Good Men, A",Nominee,No,No,No
143,1993,Actor In A Supporting Role,Al Pacino,Glengarry Glen Ross,Nominee,No,No,No
144,1993,Actor In A Supporting Role,David Paymer,Mr. Saturday Night,Nominee,No,No,No
145,1993,Actress In A Leading Role,Catherine Deneuve,Indochine,Nominee,No,No,No
146,1993,Actress In A Leading Role,Mary McDonnell,Passion Fish,Nominee,No,No,No
147,1993,Actress In A Leading Role,Michelle Pfeiffer,Love Field,Nominee,No,No,No
148,1993,Actress In A Leading Role,Susan Sarandon,Lorenzo'S Oil,Nominee,No,No,No
149,1993,Actress In A Leading Role,Emma Thompson,Howards End,Winner,No,No,No
150,1993,Actress In A Supporting Role,Judy Davis,Husbands And Wives,Nominee,No,No,No
151,1993,Actress In A Supporting Role,Joan Plowright,Enchanted April,Nominee,No,No,No
152,1993,Actress In A Supporting Role,Vanessa Redgrave,Howards End,Nominee,No,No,No
153,1993,Actress In A Supporting Role,Miranda Richardson,Damage,Nominee,No,No,No
154,1993,Actress In A Supporting Role,Marisa Tomei,My Cousin Vinny,Winner,No,No,No
155,1993,Directing,Neil Jordan,The Crying Game,Nominee,No,No,No
156,1993,Directing,James Ivory,Howards End,Nominee,No,No,No
157,1993,Directing,Robert Altman,"Player, The",Nominee,No,No,No
158,1993,Directing,Martin Brest,Scent Of A Woman,Nominee,No,No,No
159,1993,Directing,Clint Eastwood,Unforgiven,Winner,No,No,No
160,1993,International Feature Film,Russia,Close To Eden,Nominee,No,No,No
161,1993,International Feature Film,Belgium,Daens,Nominee,No,No,No
162,1993,International Feature Film,France,Indochine,Winner,No,No,No
163,1993,International Feature Film,Uruguay,A Place In The World,Nominee,No,No,No
164,1993,International Feature Film,Germany,Schtonk!,Nominee,No,No,No
165,1993,Best Picture,"Stephen Woolley, Producer",The Crying Game,Nominee,No,No,No
166,1993,Best Picture,"David Brown, Rob Reiner and Andrew Scheinman, Producers","Few Good Men, A",Nominee,No,No,No
167,1993,Best Picture,"Ismail Merchant, Producer",Howards End,Nominee,No,No,No
168,1993,Best Picture,"Martin Brest, Producer",Scent Of A Woman,Nominee,No,No,No
169,1993,Best Picture,"Clint Eastwood, Producer",Unforgiven,Winner,No,No,No
170,1993,Writing (Adapted Screenplay),Peter Barnes,Enchanted April,Nominee,No,No,No
171,1993,Writing (Adapted Screenplay),Ruth Prawer Jhabvala,Howards End,Winner,No,No,No
172,1993,Writing (Adapted Screenplay),Michael Tolkin,"Player, The",Nominee,No,No,No
173,1993,Writing (Adapted Screenplay),Richard Friedenberg,"River Runs Through It, A",Nominee,No,No,No
174,1993,Writing (Adapted Screenplay),Bo Goldman,Scent Of A Woman,Nominee,No,No,No
175,1993,Writing (Original Screenplay),Neil Jordan,The Crying Game,Winner,No,No,No
176,1993,Writing (Original Screenplay),Woody Allen,Husbands And Wives,Nominee,No,No,No
